Node_ID	X(mm)	Y(mm)	Z(mm)
15	-0.005975421	-0.001637010	0.047354545
16	-0.006629457	-0.002096819	0.047354545
17	-0.007177254	-0.002534611	0.047354545
18	-0.007609687	-0.002949604	0.047354545
19	-0.007915658	-0.003337752	0.047354545
20	-0.008084714	-0.003685166	0.047354545
21	-0.008125744	-0.003959052	0.047354545
22	-0.008099875	-0.004124068	0.047354545
23	-0.008081558	-0.004176891	0.047354545
24	-0.008057460	-0.004229753	0.047354545
25	-0.007957442	-0.004371546	0.047354545
26	-0.007726198	-0.004542634	0.047354545
27	-0.007346102	-0.004672229	0.047354545
28	-0.006837301	-0.004743322	0.047354545
29	-0.006214611	-0.004743258	0.047354545
30	-0.005491235	-0.004657034	0.047354545
31	-0.004680355	-0.004477191	0.047354545
32	-0.003794104	-0.004200557	0.047354545
33	-0.002843590	-0.003826371	0.047354545
34	-0.001839148	-0.003355372	0.047354545
35	-0.000790533	-0.002789401	0.047354545
36	0.000292976	-0.002131245	0.047354545
37	0.001402548	-0.001384573	0.047354545
38	0.002529831	-0.000553910	0.047354545
39	0.003667001	0.000355411	0.047354545
40	0.004806794	0.001337386	0.047354545
41	0.005942485	0.002385623	0.047354545
42	0.007067737	0.003493901	0.047354545
43	0.008176257	0.004657143	0.047354545
44	0.009261231	0.005872917	0.047354545
45	0.010286007	0.007122860	0.047354545
1	0.010585086	0.006771263	0.049740000
2	0.009157834	0.006099942	0.049740000
3	0.007754083	0.005404786	0.049740000
4	0.006370091	0.004708484	0.049740000
5	0.005006997	0.004024981	0.049740000
6	0.003669627	0.003361400	0.049740000
7	0.002364798	0.002720854	0.049740000
8	0.001100222	0.002104316	0.049740000
9	-0.000116125	0.001511725	0.049740000
10	-0.001276344	0.000942585	0.049740000
11	-0.002372759	0.000396259	0.049740000
12	-0.003397975	-0.000127904	0.049740000
13	-0.004344864	-0.000630527	0.049740000
14	-0.005206504	-0.001112199	0.049740000
15	-0.005976049	-0.001573485	0.049740000
16	-0.006646480	-0.002014893	0.049740000
17	-0.007210175	-0.002436727	0.049740000
18	-0.007658179	-0.002838481	0.049740000
19	-0.007979548	-0.003216613	0.049740000
20	-0.008163746	-0.003558061	0.049740000
21	-0.008218261	-0.003830766	0.049740000
22	-0.008201045	-0.003997584	0.049740000
23	-0.008185476	-0.004051514	0.049740000
24	-0.008164047	-0.004105806	0.049740000
25	-0.008070526	-0.004252900	0.049740000
26	-0.007845001	-0.004433464	0.049740000
27	-0.007467035	-0.004574472	0.049740000
28	-0.006957881	-0.004659131	0.049740000
29	-0.006332470	-0.004675015	0.049740000
30	-0.005603728	-0.004606893	0.049740000
31	-0.004784676	-0.004447137	0.049740000
32	-0.003887342	-0.004192422	0.049740000
